contact_id,season_year,tenure,percent_total_used,flash_profit_loss,renewed
9438345,2014-2015,2,0.674418605,0,
131960,2014-2015,17,0.302325581,-0.057406243,
470690,2014-2015,9,0.848837209,0,
100390,2014-2015,19,0.023255814,-0.009481216,
1733180,2014-2015,5,0.930232558,0,
21109036,2014-2015,1,0.790697674,0,
148834,2014-2015,14,0.73255814,0,
363150,2014-2015,10,0.511627907,0,
1720879,2014-2015,5,0.543604651,0,
7578724,2014-2015,5,0.872093023,0,
141959,2014-2015,19,0.790697674,0,
135700,2014-2015,19,0.930232558,0,
109751,2014-2015,19,0.843023256,0,
22079954,2014-2015,1,0.773255814,0,
123127,2014-2015,19,0.877906977,0,
105285,2014-2015,19,0.872093023,0,
221111,2014-2015,12,0.011627907,-0.003488372,
9186568,2014-2015,3,0.015503876,0,
216271,2014-2015,12,0.895348837,0,
6979690,2014-2015,6,0,0,
1885256,2014-2015,4,0.755813953,0.107674419,
149516,2014-2015,15,0.651162791,0,
217921,2014-2015,12,0.697674419,0,
100841,2014-2015,19,0.76744186,-0.07982401,
134985,2014-2015,19,0.73255814,0,
109608,2014-2015,19,0.744186047,0,
122346,2014-2015,19,0.662790698,0,
6777789,2014-2015,6,0.38372093,0,
9226949,2014-2015,3,0.534883721,0.106976744,
124645,2014-2015,18,0.785714286,0,
2282505,2014-2015,4,0.534883721,0,
215710,2014-2015,12,0.73255814,0,
19919342,2014-2015,1,0.860465116,0,
2007826,2014-2015,15,0.821705426,0,
9028996,2014-2015,3,0.953488372,0,
113799,2014-2015,19,0.023255814,0,
21069718,2014-2015,1,0.918604651,0,
9323740,2014-2015,2,0.720930233,0,
4797274,2014-2015,7,0.534883721,-0.122093023,
2290038,2014-2015,4,0.872093023,0,
20664940,2014-2015,1,0.463414634,-0.462332006,
21629962,2014-2015,1,0.790697674,0,
126669,2014-2015,18,0.930232558,0,
9257762,2014-2015,2,0.674418605,0,
2526661,2014-2015,7,0,0,
12029060,2014-2015,1,0.279069767,0.226568006,
22044917,2014-2015,1,0.639534884,0,
1564730,2014-2015,6,0,0,
212806,2014-2015,12,0,0,
9360309,2014-2015,2,0.725806452,0,
1797660,2014-2015,4,0.872093023,0,
21125677,2014-2015,1,0.686046512,0,
21076013,2014-2015,1,0.86627907,0,
5326890,2014-2015,7,0.976744186,0,
12539156,2014-2015,1,0.813953488,0.233879493,
141090,2014-2015,17,0.023255814,0,
2439411,2014-2015,4,0.674418605,0,
1985344,2014-2015,4,0.88372093,0,
2385712,2014-2015,4,0.976744186,0,
9186517,2014-2015,3,0.011627907,0.000145349,
